thesis_id,rank,neighbor_id,cosine_similarity
2726980860,2,2642153169,0.7015
2726980860,3,2512680351,0.673
2726980860,4,2869969710,0.6395
2726980860,5,2599155499,0.6305
2726980860,6,2524918628,0.6232
2726980860,7,2524918628,0.6232
2726980860,8,2728154054,0.6205
2726980860,9,2868599469,0.6104
2726980860,10,2691928292,0.6025
2727054581,1,2686887836,0.7344
2727054581,2,2873041236,0.7265
2727054581,3,2595758154,0.6997
2727054581,4,2595758154,0.6997
2727054581,5,2713170576,0.6594
2727054581,6,2713170576,0.6594
2727054581,7,2518334401,0.6574
2727054581,8,2873205565,0.6512
2727054581,9,2873205565,0.6512
2727054581,10,2872727797,0.6501
2733712681,1,2464663924,0.9087
2733712681,2,2733712663,0.8831
2733712681,3,2720125363,0.8505
2733712681,4,2870042712,0.8262
2733712681,5,2870042712,0.8262
2733712681,6,2872735303,0.7873
2733712681,7,2873651564,0.7741
2733712681,8,2873651564,0.7741
2733712681,9,2873651564,0.7741
2733712681,10,2606168177,0.7702
2718340542,1,2596066111,0.8674
2718340542,2,2596066111,0.8674
2718340542,3,2712810205,0.7589
2718340542,4,2712810205,0.7589
2718340542,5,2739399209,0.7418
2718340542,6,2724522319,0.7385
2718340542,7,2727784001,0.7149
2718340542,8,2869675364,0.6653
2718340542,9,2712907526,0.6282
2718340542,10,2723428135,0.6229
2737855393,1,2872712936,0.8616
2737855393,2,2872712936,0.8616
2737855393,3,2869969711,0.8392
2737855393,4,2737702151,0.8223
2737855393,5,2737702151,0.8223
2737855393,6,2496058612,0.814
2737855393,7,2707790622,0.7942
2737855393,8,2727471096,0.7818
2737855393,9,2727471096,0.7818
2737855393,10,2731495415,0.7728
2727406345,1,2738218209,0.8841
2727406345,2,2738218209,0.8841
2727406345,3,2737744379,0.8334
2727406345,4,2737744379,0.8334
2727406345,5,2872572140,0.8222
2727406345,6,2872572140,0.8222
2727406345,7,2713316490,0.8047
2727406345,8,2713252431,0.8039
2727406345,9,2706296923,0.8016
2727406345,10,2706296923,0.8016
2737859065,1,2868448783,0.8565
2737859065,2,2453337453,0.8035
2737859065,3,2526396487,0.8021
2737859065,4,2597735924,0.7943
2737859065,5,2734326426,0.7868
2737859065,6,2712810112,0.7867
2737859065,7,2712810112,0.7867
2737859065,8,2497101809,0.7766
2737859065,9,2497101809,0.7766
2737859065,10,2621489978,0.7762
2693243150,1,2497546663,0.8214
2693243150,2,2449259844,0.8
2693243150,3,2691928342,0.7823
2693243150,4,2870921540,0.7741
2693243150,5,2870921540,0.7741
2693243150,6,2870921540,0.7741
2693243150,7,2727113781,0.7652
2693243150,8,2727113781,0.7652
2693243150,9,2691928177,0.7607
2693243150,10,2691928177,0.7607
2595588400,1,2691928251,0.8404
2595588400,2,2691928251,0.8404
2595588400,3,2595488044,0.8043
2595588400,4,2692866726,0.7927
2595588400,5,2720010569,0.7859
2595588400,6,2453325255,0.7808
2595588400,7,2693203824,0.7758
2595588400,8,2693203824,0.7758
2595588400,9,2612047688,0.7755
2595588400,10,2727978265,0.7698
2596251986,1,2713228500,0.7853
2596251986,2,2713228500,0.7853
2596251986,3,2597213917,0.7577
2596251986,4,2597213917,0.7577
2596251986,5,2713463391,0.7409
2596251986,6,2734486795,0.7216
2596251986,7,2734486795,0.7216
2596251986,8,2713226882,0.7173
2596251986,9,2713226882,0.7173
2596251986,10,2714075558,0.7164
2599155497,1,2720010098,0.9999
2599155497,2,2723191168,0.9999
2599155497,3,2692210964,0.9999
2599155497,4,2692210964,0.9999
2599155497,5,2612047702,0.9999
2599155497,6,2730752531,0.9999
2599155497,7,2730752531,0.9999
2599155497,8,2604853398,0.9998
2599155497,9,2727253545,0.9998
